timestamp_iso,elapsed_s,temperature_c,humidity_pct
2026-05-14T11:01:18.906,139.576,24.937500,
2026-05-14T11:01:20.173,140.840,24.921900,
2026-05-14T11:01:21.441,142.110,24.921900,
2026-05-14T11:01:22.711,143.380,24.914100,
2026-05-14T11:01:23.973,144.641,24.914100,
2026-05-14T11:01:25.235,145.903,24.914100,
2026-05-14T11:01:26.497,147.166,24.906200,
2026-05-14T11:01:27.758,148.428,24.906200,
2026-05-14T11:01:29.024,149.692,24.906200,
2026-05-14T11:01:30.287,150.956,24.898400,
2026-05-14T11:01:31.546,152.215,24.890600,
2026-05-14T11:01:32.817,153.487,24.906200,
2026-05-14T11:01:34.084,154.753,24.914100,
2026-05-14T11:01:35.352,156.022,24.906200,
2026-05-14T11:01:36.619,157.289,24.898400,
2026-05-14T11:01:37.883,158.553,24.898400,
2026-05-14T11:01:39.155,159.825,24.914100,
2026-05-14T11:01:40.427,161.096,24.914100,
2026-05-14T11:01:41.699,162.368,24.914100,
2026-05-14T11:01:42.972,163.640,24.906200,
2026-05-14T11:01:44.238,164.906,24.906200,
2026-05-14T11:01:45.513,166.181,24.906200,
2026-05-14T11:01:46.785,167.453,24.906200,
2026-05-14T11:01:48.052,168.721,24.906200,
2026-05-14T11:01:49.318,169.987,24.914100,
2026-05-14T11:01:50.588,171.257,24.921900,
2026-05-14T11:01:51.849,172.517,24.914100,
2026-05-14T11:01:53.109,173.777,24.921900,
2026-05-14T11:01:54.380,175.049,24.929700,
2026-05-14T11:01:55.646,176.316,24.929700,
2026-05-14T11:01:56.906,177.575,24.937500,
2026-05-14T11:01:58.170,178.840,24.929700,
2026-05-14T11:01:59.436,180.104,24.921900,
2026-05-14T11:02:00.710,181.378,24.929700,
2026-05-14T11:02:01.980,182.649,24.937500,
2026-05-14T11:02:03.251,183.919,24.937500,
2026-05-14T11:02:04.514,185.183,24.937500,
2026-05-14T11:02:05.786,186.456,24.945300,
2026-05-14T11:02:07.053,187.722,24.945300,
2026-05-14T11:02:08.318,188.987,24.937500,
2026-05-14T11:02:09.590,190.259,24.937500,
2026-05-14T11:02:10.854,191.522,24.937500,
2026-05-14T11:02:12.120,192.789,24.937500,
2026-05-14T11:02:13.392,194.061,24.937500,
2026-05-14T11:02:14.660,195.330,24.929700,
2026-05-14T11:02:15.930,196.597,24.921900,
2026-05-14T11:02:17.198,197.866,24.921900,
2026-05-14T11:02:18.459,199.128,24.929700,
2026-05-14T11:02:19.726,200.396,24.937500,
2026-05-14T11:02:20.985,201.654,24.929700,
2026-05-14T11:02:22.259,202.928,24.929700,
2026-05-14T11:02:23.523,204.190,24.937500,
2026-05-14T11:02:24.781,205.450,24.937500,
2026-05-14T11:02:26.052,206.720,24.937500,
2026-05-14T11:02:27.319,207.988,24.937500,
2026-05-14T11:02:28.581,209.249,24.937500,
